Test: breaks,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN10AA0101,68,51,41,17,58,49,55,58,68,54
MN10AA0105,84,17,15,0,1,1,0,7,0,0
MN10AA0203,70,69,70,70,70,70,70,70,70,70
MN10AA0207,79,61,68,78,19,72,47,45,0,75
MN10AA0302,76,33,26,17,30,12,5,66,0,35
MN10AA0304,85,85,85,85,85,85,85,85,85,85
MN10AA0305,89,12,10,5,0,0,15,0,0,6
MN10AA0306,74,74,74,74,74,74,74,74,74,74
MN10AA0307,83,12,12,0,1,0,0,0,0,0
MN10AA0308,65,37,32,19,0,0,1,0,0,1
MN10AA0403,75,75,75,75,75,75,75,75,75,75
MN10AA0503,76,76,75,76,24,76,76,25,76,76
MN10AA0506,59,48,53,51,59,59,44,59,0,59
MN10AA0603,71,63,61,71,9,38,64,55,0,64
MN10AA0604,64,59,60,61,64,64,64,64,64,53
MN10AA0607,78,43,46,49,0,2,15,0,0,76
MN10AA0705,74,50,48,49,29,14,62,65,1,11
MN10AA0706,83,41,45,22,1,1,1,2,0,0
MN10AA0707,74,27,29,42,0,24,8,6,0,11
MN10AA0708,66,64,59,58,6,3,1,27,0,20
MN10AA0709,69,57,61,14,7,5,5,4,0,3
MN10AA0803,78,42,61,78,78,78,78,78,78,78
MN10AA0804,79,4,0,16,0,0,1,0,0,0
MN10AA0809,96,77,86,84,38,94,35,80,0,58
MN10AA0903,77,77,77,77,77,77,77,77,77,77
MN10AA0904,78,77,76,75,77,78,28,78,6,74
MN10AA0905,74,68,66,55,3,14,2,1,0,1
MN10AA0906,64,5,2,3,0,0,0,0,0,1
MN10AA0907,89,89,89,89,89,89,89,89,2,89
MN10AA0908,87,75,78,78,0,23,6,2,0,35
MN10AA1003,73,73,73,73,73,73,73,73,72,73
MN10AA1004,80,68,63,75,62,57,10,79,0,71
MN10AA1005,72,56,44,15,67,14,1,72,1,3
MN10AA1007,85,0,2,3,0,3,12,0,0,62
MN10AA1011,82,70,76,71,1,13,14,7,0,17
MN10AA1302,78,78,78,71,52,74,75,27,78,67
MN10AA1406,82,80,80,77,66,80,49,81,0,78
MN10AA1508,76,76,76,75,0,76,75,1,0,76
MN10AA1509,89,44,52,37,39,89,88,45,0,89
MN10AA1514,65,59,57,50,0,17,16,0,0,24
MN10AA1904,64,11,14,16,40,6,17,55,56,1
MN10AA1905,81,46,56,72,79,81,81,81,81,81
MN10AA1906,81,50,57,55,78,59,26,81,0,34
MN10AA1907,81,37,44,73,8,7,38,10,0,9
MN10AA2003,79,79,79,78,79,44,73,79,79,31
MN10AA2004,62,62,61,62,62,62,62,62,62,61
MN10AA2005,73,73,73,73,73,73,73,73,37,73
MN10AA2006,78,66,68,60,76,76,71,78,1,16
MN10AA2007,82,77,78,72,45,82,49,81,0,16
MN10AA2105,73,73,73,73,73,73,73,73,73,73
MN10AA2106,76,45,36,76,17,72,73,63,0,76
MN10AA2109,78,17,11,40,1,0,1,0,0,37
MN10AA2110,64,64,64,64,19,64,54,43,1,64
MN10AA2112,86,69,67,77,0,32,19,3,0,83
MN10AA2113,65,46,49,57,1,60,43,1,0,65
MN10AA2114,90,89,87,90,23,81,44,46,0,88
MN10AA2204,81,79,80,74,81,71,81,81,81,43
MN10AA2206,72,56,66,38,42,44,40,64,0,19
MN10AA2207,78,41,19,12,0,0,1,2,0,1
MN10AA2208,80,6,3,0,32,2,1,73,0,3
MN10AA2211,77,77,74,77,74,75,54,77,77,17
MN10AA2303,71,71,70,69,62,69,24,71,0,44
MN10AA2304,64,47,36,51,64,64,33,64,0,34
MN10AA2305,68,68,68,68,25,59,41,45,12,39
MN10AA2306,83,83,82,76,37,52,18,76,0,10
MN10AA2310,83,30,33,49,0,6,13,1,0,65
MN10AA2404,63,63,63,63,63,63,63,63,63,63
MN10AA2405,80,38,40,21,25,25,28,74,0,32
MN10AA2408,75,13,6,32,37,71,66,60,0,61
MN10AA2409,73,32,41,38,73,73,19,73,0,0
MN10AA2504,78,75,74,78,78,78,78,78,39,78
MN10AA2505,73,71,71,72,73,73,57,73,0,66
MN10AA2506,90,82,68,75,0,0,0,0,0,1
MN10AA2507,83,25,14,6,14,2,1,32,0,7
MN10AA2508,65,62,63,46,62,33,13,65,0,16
MN10AA2509,78,63,69,77,76,74,53,78,78,71
MN10AA2603,68,68,68,68,68,68,68,68,68,68
MN10AA2604,70,69,69,67,70,69,45,70,0,38
MN10AA2605,74,16,11,1,13,4,1,42,0,0
MN10AA2606,76,63,59,64,45,11,71,45,76,50
MN10AA2607,75,3,1,0,0,0,1,0,0,0
MN10AA2608,81,20,11,12,1,1,5,0,0,12
MN10AA2703,73,25,40,23,73,69,73,73,73,42
MN10AA2704,67,67,67,67,67,67,67,67,67,67
MN10AA2705,78,71,65,62,61,7,2,76,1,0
MN10AA2803,75,75,75,75,75,75,75,75,5,61
MN10AA2804,70,70,70,70,70,70,70,70,70,57
MN10AA2805,83,34,28,36,30,44,11,75,0,12
MN10AA2806,83,1,4,11,68,83,35,80,0,67
MN10AA2807,70,41,35,5,0,6,0,0,0,0
MN10AA2808,72,66,72,72,72,72,68,72,14,72
MN10AA2809,94,57,52,57,0,6,13,0,0,31
MN10AA2902,73,61,55,69,73,73,65,73,36,69
MN10AA2904,82,81,82,79,80,82,46,82,7,77
MN10AA2905,74,66,68,74,73,74,65,74,0,74
MN10AA2906,77,1,0,0,0,0,0,0,0,0
MN10AA2907,73,48,43,58,7,39,24,15,0,43
MN10AA2908,88,36,34,16,0,0,2,0,0,34
MN10AA2909,71,70,71,71,0,64,56,0,3,71
MN10AA2910,72,71,72,72,0,68,61,0,0,72
MN10AA3003,73,35,45,65,18,71,53,21,33,72
MN10AA3004,84,70,67,77,4,24,11,7,0,41
MN10AA3005,79,72,73,54,4,39,10,7,0,48
MN10AA3102,79,79,79,79,19,79,79,22,79,79
MN10AA3103,68,60,53,59,59,64,29,68,0,20
MN10AA3202,76,76,76,76,76,76,76,76,76,72
MN10AA3203,81,59,60,73,81,81,81,81,81,80
MN10AA3204,64,64,61,63,64,64,58,64,0,45
MN10AA3205,63,46,45,46,0,0,0,3,0,6
MN10AA3302,85,18,24,13,4,0,37,28,29,1
MN10AA3303,68,28,27,6,0,3,0,0,0,0
MN10AA3304,75,75,75,71,75,75,40,75,0,33
MN10AA3305,80,39,44,66,62,80,59,80,43,67
MN10AA3402,82,32,39,60,82,79,81,82,73,80
MN10AA3403,70,20,18,31,0,7,15,0,0,40
MN10AA3404,92,0,0,0,0,0,0,0,0,0
MN10AA3405,74,45,30,36,0,2,8,0,0,48
MN11AA0403,78,75,77,78,78,78,78,78,78,78
MN11AA0404,79,78,78,78,79,79,79,79,49,67
MN11AA0405,79,65,68,76,79,79,78,79,0,50
MN11AA0407,81,81,81,81,77,73,81,81,0,72
MN11AA0408,73,2,3,2,16,0,4,49,0,0
MN11AA0503,67,60,59,52,63,64,33,67,1,18
MN11AA0504,80,28,23,40,0,0,9,0,0,54
MN11AA0505,70,24,19,16,0,4,12,0,0,11
MN11AA0506,66,66,66,66,2,66,59,5,6,66
MN11AA0603,77,77,77,77,77,77,77,77,77,77
MN11AA0604,68,65,67,68,68,68,68,68,68,68
MN11AA0605,81,80,81,81,81,81,81,81,81,81
MN11AA0606,74,72,72,67,16,65,25,44,0,52
MN11AA0703,88,84,83,79,51,3,12,20,13,0
MN11AA0706,68,14,3,8,3,0,0,18,0,4
MN11AA0904,79,64,49,39,0,0,2,0,0,6
MN11AA0906,80,73,72,76,22,80,41,63,0,75
MN11AA1003,81,79,76,81,81,81,81,81,61,81
MN11AA1107,72,71,71,72,24,72,67,49,0,68
MN12AA0102,64,20,20,51,59,64,64,57,64,62
MN12AA0104,84,7,16,0,0,0,0,0,84,0
MN12AA0105,53,43,45,46,33,52,53,11,53,51
MN12AA0106,76,64,67,53,46,37,65,7,76,59
MN12AA0110,80,39,62,73,1,20,78,0,80,79
MN12AA0202,80,71,72,78,80,80,77,79,40,80
MN12AA0203,81,0,0,0,0,0,0,0,75,0
MN12AA0204,91,40,46,1,0,0,10,0,91,1
MN12AA0205,74,52,52,71,64,74,74,42,74,74
MN12AA0206,80,3,4,0,0,0,5,0,74,0
MN12AA0207,71,0,0,4,0,0,41,0,71,39
MN12AA0208,85,85,85,84,85,85,83,85,85,84
MN12AA0209,82,73,66,51,48,24,60,5,82,52
MN12AA0210,67,47,55,61,25,43,62,3,67,67
MN12AA0301,68,68,68,68,68,68,68,68,68,68
MN12AA0302,84,71,71,79,82,78,73,83,83,69
MN12AA0303,71,8,6,5,53,55,65,26,71,30
MN12AA0402,80,0,0,0,0,0,0,0,0,1
MN12AA0403,64,58,59,64,63,64,64,64,63,64
MN12AA0404,78,21,18,43,4,78,55,0,72,76
MN12AA0405,79,66,69,79,71,79,79,70,76,79
MN12AA0406,67,67,67,67,67,67,66,67,67,67
MN12AA0407,86,1,1,29,1,0,0,0,33,50
MN12AA0408,68,61,60,59,68,68,67,68,68,68
MN12AA0409,75,24,25,66,74,64,62,75,74,62
MN12AA0410,67,0,1,1,53,14,18,47,31,8
MN12AA0411,67,22,26,24,67,57,62,67,67,46
MN12AA0502,78,78,78,78,78,78,78,78,78,78
MN12AA0503,88,53,58,65,86,85,35,82,88,67
MN12AA0505,77,69,74,62,77,60,77,77,77,77
MN12AA0506,66,41,53,62,32,61,35,5,66,63
MN12AA0507,88,88,88,88,88,88,88,88,88,88
MN12AA0508,74,71,73,73,74,68,74,74,74,72
MN12AA0509,88,13,11,8,52,3,50,7,88,46
MN12AA0510,90,69,76,32,78,41,26,51,90,53
MN12AA0511,82,1,0,0,4,4,33,0,59,14
MN12AA0512,66,51,58,60,66,61,66,66,66,65
MN12AA0513,64,62,60,54,17,8,48,2,64,22
MN12AA0514,78,13,16,20,77,9,25,77,78,14
MN12AA0603,72,52,55,12,6,0,1,1,72,0
MN12AA0604,82,77,79,82,82,82,77,82,82,82
MN12AA0605,71,38,34,17,56,48,41,33,71,32
MN12AA0606,67,8,7,4,0,0,0,0,0,0
MN12AA0607,72,65,67,69,30,41,64,4,72,67
MN12AA0608,83,83,83,83,83,83,82,83,83,83
MN12AA0609,69,11,7,11,69,69,64,69,67,47
MN12AA0703,58,58,58,43,58,50,43,58,58,39
MN12AA0704,70,67,68,67,70,55,62,70,70,67
MN12AA0802,73,33,38,66,20,73,73,3,64,73
MN12AA0803,82,33,39,62,69,65,82,81,82,82
MN12AA0804,76,63,65,68,74,76,76,76,76,76
MN12AA0805,88,1,3,0,1,0,60,0,88,60
MN12AA0806,71,31,38,1,66,17,36,64,71,31
MN12AA1002,76,27,37,0,20,3,36,28,74,26
MN12AA1003,70,68,69,70,65,69,66,57,70,68
MN12AA1004,74,70,74,58,74,65,74,74,74,73
MN12AA1005,69,64,65,55,32,34,29,9,60,36
MN12AA1007,77,57,57,72,25,20,72,1,77,77
MN12AA1008,78,74,72,72,4,0,43,0,78,14
MN12AA1102,69,43,49,58,69,69,65,69,48,69
MN12AA1103,88,85,86,84,88,88,81,88,41,88
MN12AA1104,70,52,54,68,70,70,66,70,70,70
MN12AA1105,91,72,78,65,91,88,71,91,91,65
MN12AA1106,62,52,53,25,62,59,48,62,62,59
MN12AA1107,73,73,72,73,73,73,73,71,73,73
MN12AA1108,80,70,72,77,47,80,80,17,80,75
MN12AA1109,71,59,56,50,68,59,66,53,71,15
MN12AA1110,73,73,72,71,73,71,72,73,73,73
MN12AA1111,69,53,50,63,7,11,59,0,69,68
MN12AA1112,74,66,65,69,74,74,74,74,74,68
MN12AA1113,80,47,51,64,7,26,64,0,80,74
MN12AA5603,66,0,0,0,50,27,43,54,66,12
MN12AA5604,76,7,5,3,0,0,0,0,0,0
MN12AA5606,62,35,36,15,61,21,50,62,62,3
MN12AA5607,78,78,78,74,75,61,53,78,16,9
MN12AA5703,73,73,73,73,73,73,73,73,73,73
MN12AA5704,78,78,78,76,78,78,78,78,78,76
MN12AA5705,82,5,7,1,0,0,1,0,1,0
MN12AA5707,76,76,76,73,72,72,48,73,69,15
MN12AA5803,68,68,68,68,68,68,68,68,68,68
MN12AA5804,56,56,56,56,56,56,56,56,19,56
MN12AA5806,70,63,66,70,70,70,70,70,25,70
MN12AA5807,74,36,31,73,44,66,73,74,0,73
MN12AA5809,77,76,76,61,77,17,7,72,0,5
MN12AA5903,61,61,61,61,44,61,61,54,61,61
MN12AA5904,84,79,82,46,42,58,83,55,84,12
MN12AA5905,88,88,88,88,88,88,88,88,88,88
MN12AA5906,69,69,69,68,69,69,67,69,28,37
MN12AA6002,76,73,76,74,74,76,75,76,38,69
MN12AA6003,85,84,85,85,85,85,85,85,85,85
MN12AA6004,71,71,71,71,71,71,71,71,71,71
MN12AA6005,76,76,76,74,15,11,58,35,34,51
MN12AA6006,73,63,58,65,2,66,63,1,1,70
MN12AA6010,72,33,32,11,64,52,37,71,8,23
MN12AA6011,69,66,68,68,52,68,21,69,3,63
MN12AA6017,92,92,92,92,34,92,64,82,0,91
MN12AA6203,66,66,66,65,66,35,45,66,61,2
MN12AA6204,81,80,80,76,19,17,75,2,81,3
MN12AA6206,84,42,26,65,2,15,34,16,0,19
MN12AA6207,92,90,91,92,92,92,92,92,87,92
MN12AA6303,89,89,89,89,89,89,89,89,89,89
MN12AA6304,68,68,68,67,68,68,68,68,68,53
MN12AA6310,74,5,4,18,0,2,17,1,74,15
MN12AA6311,82,5,5,42,0,77,52,0,0,74
MN12AA6402,90,90,90,90,90,90,90,90,90,90
MN12AA6403,80,80,80,80,80,79,80,80,80,51
MN12AA6404,73,73,73,73,60,69,71,71,2,73
MN12AA6405,61,34,32,50,0,7,21,0,0,9
MN12AA6406,63,41,49,41,6,61,53,11,0,63
MN12AA6503,61,60,60,60,61,61,61,61,29,61
MN12AA6507,69,67,69,61,9,3,4,19,0,23
MN13AA0103,91,89,90,90,91,90,91,91,91,67
MN13AA0104,68,26,18,30,10,4,0,0,6,0
MN13AA0105,75,72,75,75,43,75,67,66,0,73
MN13AA0107,72,71,69,66,72,72,27,72,0,31
MN13AA0108,82,26,26,17,10,15,27,16,0,8
MN13AA0110,66,64,65,40,4,50,66,10,66,63
MN13AA0119,77,42,46,24,0,63,64,0,0,74
MN13AA0205,76,63,64,71,76,75,44,76,0,73
MN13AA0206,74,74,74,74,68,74,74,72,74,74
MN13AA0207,83,3,5,3,0,0,5,0,0,2
MN13AA0210,63,63,63,63,63,63,63,63,7,63
MN13AA0309,83,83,83,83,83,83,83,83,69,83
MN13AA0413,61,61,60,58,0,1,13,0,8,5
MN13AA0414,74,39,39,51,1,3,5,1,1,2
MN13AA0508,69,55,57,55,19,60,58,36,69,29
MN13AA0606,88,84,81,75,2,41,51,7,0,77
MN13AA0608,78,42,30,61,0,17,33,0,0,67
MN13AA0704,82,55,48,81,71,82,82,82,29,82
MN13AA0705,87,50,46,3,25,0,5,5,0,0
MN13AA0707,82,82,82,82,82,82,73,82,2,75
MN13AA0708,55,5,10,49,1,55,49,2,0,54
MN13AA0709,66,66,65,66,0,66,52,0,0,59
MN13AA0710,83,83,83,83,75,83,55,83,6,83
MN13AA0712,82,81,81,82,25,79,48,60,0,81
MN13AA0803,68,68,68,68,68,68,68,68,68,68
MN13AA0804,67,67,67,67,67,67,67,67,67,67
MN13AA0805,74,74,74,74,74,74,74,74,74,59
MN13AA0904,75,75,75,73,75,71,75,72,75,56
MN13AA0907,76,76,76,76,24,76,76,41,76,76
MN13AA0909,96,95,90,93,25,64,94,67,1,62
MN13AA0911,73,73,73,73,1,61,47,0,11,73
MN13AA1011,81,81,81,81,81,81,81,81,81,81
MN13AA1018,84,84,84,84,3,84,66,35,0,83
MN13AA1019,81,70,63,58,25,51,25,71,0,45
MN13AA1307,72,71,66,57,41,40,49,68,0,36
MN13AA1309,83,71,66,20,0,6,0,0,0,1
MN13AA1311,79,79,79,79,63,67,48,78,0,49
MN13AA1314,72,72,72,72,72,72,72,72,72,72
MN13AA1407,57,57,57,57,57,57,57,57,57,57
MN13AA1409,74,59,67,61,41,68,74,48,74,60
MN13AA1411,63,46,51,23,56,62,56,63,1,4
MN13AA1412,72,7,9,65,71,72,72,72,0,72
MN13AA1413,73,41,45,20,3,11,37,3,0,14
MN13AA1414,82,34,37,36,1,30,46,3,0,21
MN13AA1415,76,62,62,60,0,0,18,0,0,5
MN13AA1416,59,59,59,59,31,59,54,51,11,59
MN13AA1425,66,66,64,65,0,28,60,0,33,65
MN13AA1428,71,47,50,68,59,71,69,70,12,57
MN13AA1504,55,55,55,55,55,21,55,55,55,16
MN13AA1505,61,58,59,22,37,13,45,20,61,10
MN13AA1506,79,64,63,69,79,79,79,79,10,79
MN13AA1507,85,49,49,47,5,6,48,10,0,64
MN13AA1605,88,87,88,88,88,88,88,88,88,88
MN13AA1612,77,76,76,77,6,73,48,21,0,77
MN14AA0109,78,78,78,78,30,68,30,70,0,71
MN14AA0110,74,3,0,1,0,0,1,1,0,0
MN14AA0112,81,42,55,37,14,38,27,64,0,13
MN14AA0114,77,77,77,77,4,77,63,12,0,77
MN14AA0115,65,65,65,65,65,65,64,65,9,65
MN14AA0116,88,76,71,76,59,83,29,87,0,76
MN14AA0118,82,49,52,25,0,20,13,0,0,15
MN14AA0203,70,70,70,65,67,40,17,66,69,11
MN14AA0204,72,72,72,72,72,72,72,72,72,72
MN14AA0205,82,69,60,82,3,60,78,29,0,82
MN14AA0206,56,56,54,49,4,56,53,8,0,56
MN14AA0207,64,56,45,38,52,62,30,59,0,24
MN14AA0208,72,61,71,71,69,72,58,72,0,71
MN14AA0209,77,26,28,14,0,0,0,0,0,1
MN14AA0304,73,73,73,73,73,73,73,73,73,73
MN14AA0306,88,88,88,88,36,88,88,61,88,88
MN14AA0310,62,59,60,50,42,60,12,62,0,40
MN14AA0311,78,4,5,11,34,62,15,76,7,13
MN14AA0312,70,68,67,69,0,7,35,0,0,62
MN14AA0313,81,81,81,81,81,81,77,81,68,81
MN14AA0314,91,80,73,81,0,16,7,0,0,36
MN14AA0317,74,68,69,73,0,0,9,4,0,67
MN14AA0405,69,69,69,69,69,69,69,69,69,69
MN14AA0406,61,23,18,8,0,0,0,0,0,0
MN14AA0407,85,0,0,1,42,24,11,70,0,32
MN14AA0408,85,35,22,5,45,0,15,59,0,10
MN14AA0501,79,58,65,51,1,31,79,0,79,60
MN14AA0506,75,75,75,75,75,75,75,75,75,75
MN14AA0507,79,79,79,79,79,79,79,79,79,79
MN14AA0508,64,64,64,63,55,64,64,64,0,59
MN14AA0509,56,56,56,56,56,56,56,56,56,56
MN14AA0510,71,71,71,71,71,71,71,71,71,71
MN14AA0511,81,81,81,81,81,81,81,81,24,81
MN14AA0513,72,72,72,72,72,72,62,72,1,43
MN14AA0514,67,5,3,12,0,1,0,1,0,2
MN14AA0607,70,70,70,70,70,70,70,70,70,70
MN14AA0608,76,76,76,76,76,76,76,76,76,76
MN14AA0609,87,87,87,87,87,87,87,87,87,72
MN14AA0610,79,27,25,32,51,48,39,78,78,9
MN14AA0611,84,13,15,10,0,1,2,1,0,62
MN15010403,69,69,69,69,69,69,69,69,69,69
MN15010405,79,14,3,4,0,0,0,0,0,0
MN15AA2402,74,3,4,0,53,0,0,34,0,0
MN15AA2403,66,0,1,0,0,0,0,0,65,0
MN15AA2405,86,86,86,56,86,84,81,86,86,19
MN15AA2406,75,59,51,58,0,0,38,0,75,28
MN15AA2407,73,0,0,0,72,51,60,73,73,12
MN15AA2408,64,15,21,1,64,7,16,64,64,14
MN15AA2502,81,0,0,1,81,60,2,81,0,15
MN15AA2504,91,0,0,0,91,85,81,91,91,39
MN15AA2505,60,51,49,57,58,58,49,58,60,56
MN15AA2506,83,2,2,1,33,16,6,11,0,55
MN15AA2702,63,54,54,63,6,63,63,44,62,63
MN15AA2703,79,78,78,79,77,79,66,72,78,77
MN15AA2704,68,61,60,66,37,65,58,17,68,63
MN15AA2705,62,0,0,0,37,32,23,14,62,2
MN15AA2706,91,17,24,59,91,86,90,91,91,91
MN15AA2707,69,4,4,3,43,2,15,28,68,11
MN15AA2708,69,63,60,65,42,60,59,49,67,48
MN15AA2709,72,68,70,65,6,0,31,0,72,58
MN15AA2802,78,0,0,0,0,8,22,1,0,57
MN15AA2803,89,83,85,89,55,84,87,22,89,89
MN15AA2804,62,37,42,32,61,61,56,47,62,59
MN15AA2902,78,3,3,4,75,50,70,59,78,54
MN15AA2903,84,20,20,6,71,11,53,25,84,52
MN15AA3203,67,41,50,17,45,14,35,62,64,25
MN15AA3302,80,22,25,3,80,73,0,80,0,29
MN15AA3303,77,62,65,75,63,68,73,30,77,75
MN15AA3305,72,8,10,11,72,22,21,72,72,17
MN15AA3311,64,10,10,16,64,56,64,64,64,58
MN15AA3401,78,0,0,0,0,0,0,0,0,0
MN15AA3403,78,0,0,0,1,0,10,13,0,57
MN15AA3408,74,4,8,42,5,54,67,0,60,74
MN15AA3409,71,1,2,1,0,0,2,0,71,28
MN15AA3410,68,68,66,63,68,68,37,68,65,56
MN15AA3411,78,0,0,0,5,0,0,1,0,0
MN15AA3412,79,23,18,1,15,0,0,1,77,0
MN15AA3413,82,12,24,40,80,82,82,68,82,82
MN15AA3414,75,10,8,6,75,73,71,75,75,52
MN15AA3415,67,45,48,66,65,67,67,49,67,67
MN15AA3416,67,48,46,51,55,46,65,22,67,64
MN18030703,65,57,62,47,61,63,61,63,25,45
MN18030705,85,0,0,0,9,3,2,4,0,2
MN18030708,83,32,34,42,4,34,8,36,0,12
MN18050302,73,0,0,0,56,5,4,72,0,17
MN18050305,81,1,0,0,51,0,0,21,80,0
MN18050306,75,33,44,70,69,52,54,63,75,54
MN18050308,76,75,76,56,76,46,76,76,76,52
MN18050309,82,52,55,31,81,39,67,81,80,59
MN18050310,76,24,21,31,70,58,76,33,76,75
MN18050311,81,13,26,56,81,81,80,78,81,81
MN18050312,63,4,2,0,0,0,9,0,6,0
MN18050313,75,60,64,73,75,75,75,75,75,75
MN18050314,75,29,8,1,16,0,2,9,1,0
MN18050316,68,53,59,47,67,66,65,67,68,53
MN18050317,75,75,75,74,75,75,73,75,75,72
MN18050318,70,67,68,64,70,70,68,70,70,70
MN19050201,56,6,3,1,42,51,11,31,56,50
MN19050202,65,65,65,65,64,65,37,64,65,65
MN19050205,87,51,58,25,87,70,85,87,87,78
MN19050206,60,30,26,31,25,31,12,13,20,39
MN19050207,79,44,49,68,76,79,61,66,79,78
MN19050208,63,63,63,63,63,63,63,63,63,62
MN19050209,76,6,9,6,23,30,36,2,76,49
MN19050210,87,87,87,80,87,87,40,87,80,76
MN19050211,73,70,72,73,49,56,48,36,29,72
MN19050212,78,75,78,78,78,78,78,78,78,78
MN19050213,77,40,59,77,77,77,77,72,77,77
MN19050214,76,74,76,76,75,76,75,76,76,76
MN19050215,73,65,70,73,53,69,67,44,69,67
MN19050216,87,87,87,84,87,87,76,86,87,86
MN19050217,74,0,0,2,59,0,5,14,73,14
MN19050218,77,77,77,77,77,77,75,72,77,77
MN19050219,79,77,79,79,79,79,79,79,79,79
MN19050220,79,79,79,79,79,79,79,78,79,79
MN19050222,92,89,92,92,91,91,92,92,92,92
MN19050223,66,48,51,61,66,66,66,66,66,66
MN19050224,76,36,50,20,76,73,76,76,76,75
MN19050226,78,63,67,78,78,78,78,77,78,78
MN19050227,72,70,70,72,70,72,72,62,72,72
MN19050228,64,63,63,62,58,61,59,52,64,14
MN19050229,78,75,73,76,78,77,75,77,78,65
MN19050230,71,64,65,70,71,71,71,71,71,68
MN19050231,65,13,13,1,55,2,28,42,65,7
MN19050232,85,80,82,81,85,85,81,85,85,60
MN19050233,72,72,72,72,72,72,72,72,72,66
MN19050234,83,46,52,31,82,83,81,82,83,80
MN19050235,76,12,30,65,76,76,75,75,76,74
MN19050237,72,70,72,65,71,64,63,71,71,57
MN19050238,60,43,45,5,60,27,14,60,60,1
MN19050240,86,55,59,79,86,86,84,86,86,86
MN19050241,75,30,36,58,75,74,68,75,75,58
MN19050242,63,53,57,53,63,63,63,63,63,58
MN19050243,72,0,0,0,72,71,67,72,72,64
MN19050244,75,4,4,5,75,73,72,75,75,54
MN19050245,70,1,0,1,70,30,56,70,70,31
MN19080801,83,80,82,83,82,83,82,78,83,83
MN19080802,80,80,80,80,80,80,75,80,80,80
MN19080803,76,38,55,74,73,76,76,69,76,76
MN19080804,79,30,39,73,19,28,53,1,79,77
MN19080805,71,71,71,71,71,71,71,71,71,70
MN19080806,72,72,72,72,72,72,72,72,72,72
MN19080807,74,0,1,1,72,26,15,71,74,20
MN19080808,73,73,73,71,73,73,72,73,73,73
MN19080813,74,74,74,74,74,74,72,74,74,74
MN19080814,68,52,59,59,68,68,68,68,68,68
MN19080817,75,46,48,51,75,74,70,73,75,70
MN19081015,71,11,12,5,71,49,19,71,71,2
MN19081016,91,77,85,78,91,91,91,91,91,79
MN19081018,76,6,17,18,76,76,74,76,76,24
MN19081020,91,5,1,19,89,18,91,91,91,35
MN19081022,66,4,9,5,66,21,30,66,66,35
MN19081023,89,65,60,60,89,70,80,89,89,60
MN19081024,57,13,22,10,57,47,47,57,57,33
MN19081201,70,70,70,70,70,70,70,70,70,70
MN19081202,63,63,63,36,63,63,58,63,63,24
MN19081301,71,71,71,71,71,71,70,71,71,69
MN19081302,82,82,82,82,78,82,81,74,82,82
MN19081303,73,67,71,73,73,73,73,73,73,72
MN19081304,76,63,61,69,76,71,73,68,76,73
MN19081305,81,37,57,55,81,79,79,81,81,38
MN19081640,74,58,64,61,74,67,57,74,74,33
